dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes	sheet	source_context	meta_set	include_GSE194040	include_GSE25066	k	fixed_estimate	fixed_conf_low	fixed_conf_high	fixed_p_value	random_estimate	random_conf_low	random_conf_high	random_p_value	I2	Q_p_value	included_datasets	signature	n_signature_genes	n_genes_found	coverage	missing_genes	source_file	analysis_level	source_celltype	MajorCluster	SubCluster	Subset	module	n_pairs	n_samples	n_patients	mean_delta	median_delta	p_adj_BH_within_module	comparison	value	p_adj_BH	effect_R_minus_NR
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	(Intercept)	OR	0.21330840202471107	0.122893697976929	0.370242535812354	3.9807243101142466e-8	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	NA	S2A_Response_models																																						
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + ABT 888 + Carboplatin	OR	6.039521850921389	2.5579776670517376	14.2596335603657	4.0824393319848954e-5	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	NA	S2A_Response_models																																						
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + AMG 386	OR	3.4176104532803877	1.5590173437495	7.491937955148309	0.00214858359623718	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	NA	S2A_Response_models																																						
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + Ganetespib	OR	3.1486924824470703	1.3868310390612024	7.148862456763318	0.00611234119555831	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	NA	S2A_Response_models																																						
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + Ganitumab	OR	2.312843288469816	1.003868933039623	5.3286279722023595	0.0489452584554423	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	NA	S2A_Response_models																																						
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + MK-2206	OR	3.326800334353667	1.3355022682007285	8.287219518965424	0.00984352843050952	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	NA	S2A_Response_models																																						
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + Neratinib	OR	3.519481040817152	1.3928179422502744	8.893299275466696	0.00780116955998001	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	NA	S2A_Response_models																																						
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	treatment_armPaclitaxel + Pembrolizumab	OR	9.464035524849857	3.5635668064918136	25.134359275221826	6.482316023355282e-6	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	NA	S2A_Response_models																																						
GSE194040	primary_TNBC	pCR	363	142	axis_treatment_adjusted	scale(APC_CXCL9_axis)	OR	1.8473198007237217	1.437462411153471	2.37403804069391	1.6246348883901525e-6	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis)	NA	S2A_Response_models																																						
GSE194040	primary_TNBC	pCR	363	142	axis_plus_prolif_cytolytic	(Intercept)	OR	0.23513400045300903	0.1353873096999028	0.4083691321704086	2.749145817028617e-7	pCR_binary ~ treatment_arm + scale(APC_CXCL9_axis) + scale(Proliferation) +      scale(Cytolytic)	NA	S2A_Response_models																																						
